Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
cycling,2018-07-09 07:33:36,false,"Zaltbommel Fietsen","16.80","468","35:32","126","143","2.1","--","--","28.4","40.0","7","2","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-07-08 07:43:48,false,"Zaltbommel Hardlopen","11.96","718","54:34","144","184","4.1","178","195","4:34","3:51","10","10","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-07-03 17:07:59,false,"'s-Hertogenbosch Fietsen","16.75","464","38:20","120","138","2.0","--","--","26.2","34.6","3","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-07-03 07:29:11,false,"Zaltbommel Fietsen","16.76","478","37:36","124","134","1.9","--","--","26.7","40.0","7","2","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-07-01 07:40:29,false,"Zaltbommel Hardlopen","16.31","793","1:14:39","136","159","3.0","181","191","4:35","3:56","15","15","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-29 15:23:54,false,"'s-Hertogenbosch Fietsen","15.37","392","39:44","111","132","1.6","--","--","23.2","32.2","4","8","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-29 08:09:09,false,"Zaltbommel Fietsen","15.37","398","32:38","120","136","1.8","--","--","28.3","39.4","17","11","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-27 21:41:19,false,"'s-Hertogenbosch Fietsen","14.16","406","33:04","119","140","2.0","--","--","25.7","33.2","3","12","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-06-27 16:39:37,false,"Zaltbommel Fietsen","14.13","283","34:31","103","121","1.4","--","--","24.6","34.6","10","2","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-06-21 21:00:44,false,"Zaltbommel Hardlopen","21.21","1,343","1:33:37","156","172","5.0","181","198","4:25","3:59","25","24","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
